areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
ltla,"Bristol, City of",E06000023,05/15/21,4,30962
ltla,"Bristol, City of",E06000023,05/14/21,6,30958
ltla,"Bristol, City of",E06000023,05/13/21,5,30952
ltla,"Bristol, City of",E06000023,05/12/21,8,30947
ltla,"Bristol, City of",E06000023,05/11/21,12,30939
ltla,"Bristol, City of",E06000023,05/10/21,12,30927
ltla,"Bristol, City of",E06000023,05/09/21,12,30915
ltla,"Bristol, City of",E06000023,05/08/21,6,30903
ltla,"Bristol, City of",E06000023,05/07/21,10,30897
ltla,"Bristol, City of",E06000023,05/06/21,9,30887
ltla,"Bristol, City of",E06000023,05/05/21,8,30878
ltla,"Bristol, City of",E06000023,05/04/21,4,30870
ltla,"Bristol, City of",E06000023,05/03/21,12,30866
ltla,"Bristol, City of",E06000023,05/02/21,2,30854
ltla,"Bristol, City of",E06000023,05/01/21,3,30852
ltla,"Bristol, City of",E06000023,04/30/21,5,30849
ltla,"Bristol, City of",E06000023,04/29/21,8,30844
ltla,"Bristol, City of",E06000023,04/28/21,7,30836
ltla,"Bristol, City of",E06000023,04/27/21,10,30829
ltla,"Bristol, City of",E06000023,04/26/21,16,30819
ltla,"Bristol, City of",E06000023,04/25/21,6,30803
ltla,"Bristol, City of",E06000023,04/24/21,5,30797
ltla,"Bristol, City of",E06000023,04/23/21,18,30792
ltla,"Bristol, City of",E06000023,04/22/21,17,30774
ltla,"Bristol, City of",E06000023,04/21/21,18,30757
ltla,"Bristol, City of",E06000023,04/20/21,14,30739
ltla,"Bristol, City of",E06000023,04/19/21,16,30725
ltla,"Bristol, City of",E06000023,04/18/21,18,30709
ltla,"Bristol, City of",E06000023,04/17/21,12,30691
ltla,"Bristol, City of",E06000023,04/16/21,13,30679
ltla,"Bristol, City of",E06000023,04/15/21,22,30666
ltla,"Bristol, City of",E06000023,04/14/21,14,30644
ltla,"Bristol, City of",E06000023,04/13/21,14,30630
ltla,"Bristol, City of",E06000023,04/12/21,14,30616
ltla,"Bristol, City of",E06000023,04/11/21,15,30602
ltla,"Bristol, City of",E06000023,04/10/21,15,30587
ltla,"Bristol, City of",E06000023,04/09/21,19,30572
ltla,"Bristol, City of",E06000023,04/08/21,17,30553
ltla,"Bristol, City of",E06000023,04/07/21,13,30536
ltla,"Bristol, City of",E06000023,04/06/21,8,30523
ltla,"Bristol, City of",E06000023,04/05/21,17,30515
ltla,"Bristol, City of",E06000023,04/04/21,6,30498
ltla,"Bristol, City of",E06000023,04/03/21,9,30492
ltla,"Bristol, City of",E06000023,04/02/21,10,30483
ltla,"Bristol, City of",E06000023,04/01/21,10,30473
ltla,"Bristol, City of",E06000023,03/31/21,17,30463
ltla,"Bristol, City of",E06000023,03/30/21,25,30446
ltla,"Bristol, City of",E06000023,03/29/21,22,30421
ltla,"Bristol, City of",E06000023,03/28/21,25,30399
ltla,"Bristol, City of",E06000023,03/27/21,14,30374
ltla,"Bristol, City of",E06000023,03/26/21,25,30360
ltla,"Bristol, City of",E06000023,03/25/21,44,30335
ltla,"Bristol, City of",E06000023,03/24/21,48,30291
ltla,"Bristol, City of",E06000023,03/23/21,31,30243
ltla,"Bristol, City of",E06000023,03/22/21,46,30212
ltla,"Bristol, City of",E06000023,03/21/21,18,30166
ltla,"Bristol, City of",E06000023,03/20/21,26,30148
ltla,"Bristol, City of",E06000023,03/19/21,30,30122
ltla,"Bristol, City of",E06000023,03/18/21,39,30092
ltla,"Bristol, City of",E06000023,03/17/21,41,30053
ltla,"Bristol, City of",E06000023,03/16/21,35,30012
ltla,"Bristol, City of",E06000023,03/15/21,34,29977
ltla,"Bristol, City of",E06000023,03/14/21,34,29943
ltla,"Bristol, City of",E06000023,03/13/21,15,29909
ltla,"Bristol, City of",E06000023,03/12/21,37,29894
ltla,"Bristol, City of",E06000023,03/11/21,17,29857
ltla,"Bristol, City of",E06000023,03/10/21,22,29840
ltla,"Bristol, City of",E06000023,03/09/21,29,29818
ltla,"Bristol, City of",E06000023,03/08/21,46,29789
ltla,"Bristol, City of",E06000023,03/07/21,29,29743
ltla,"Bristol, City of",E06000023,03/06/21,32,29714
ltla,"Bristol, City of",E06000023,03/05/21,29,29682
ltla,"Bristol, City of",E06000023,03/04/21,34,29653
ltla,"Bristol, City of",E06000023,03/03/21,29,29619
ltla,"Bristol, City of",E06000023,03/02/21,29,29590
ltla,"Bristol, City of",E06000023,03/01/21,41,29561
ltla,"Bristol, City of",E06000023,02/28/21,29,29520
ltla,"Bristol, City of",E06000023,02/27/21,33,29491
ltla,"Bristol, City of",E06000023,02/26/21,62,29458
ltla,"Bristol, City of",E06000023,02/25/21,51,29396
ltla,"Bristol, City of",E06000023,02/24/21,45,29345
ltla,"Bristol, City of",E06000023,02/23/21,56,29300
ltla,"Bristol, City of",E06000023,02/22/21,61,29244
ltla,"Bristol, City of",E06000023,02/21/21,36,29183
ltla,"Bristol, City of",E06000023,02/20/21,65,29147
ltla,"Bristol, City of",E06000023,02/19/21,62,29082
ltla,"Bristol, City of",E06000023,02/18/21,82,29020
ltla,"Bristol, City of",E06000023,02/17/21,74,28938
ltla,"Bristol, City of",E06000023,02/16/21,89,28864
ltla,"Bristol, City of",E06000023,02/15/21,81,28775
ltla,"Bristol, City of",E06000023,02/14/21,58,28694
ltla,"Bristol, City of",E06000023,02/13/21,57,28636
ltla,"Bristol, City of",E06000023,02/12/21,106,28579
ltla,"Bristol, City of",E06000023,02/11/21,101,28473
ltla,"Bristol, City of",E06000023,02/10/21,113,28372
ltla,"Bristol, City of",E06000023,02/09/21,130,28259
ltla,"Bristol, City of",E06000023,02/08/21,134,28129
ltla,"Bristol, City of",E06000023,02/07/21,104,27995
ltla,"Bristol, City of",E06000023,02/06/21,73,27891
ltla,"Bristol, City of",E06000023,02/05/21,102,27818
ltla,"Bristol, City of",E06000023,02/04/21,138,27716
ltla,"Bristol, City of",E06000023,02/03/21,135,27578
ltla,"Bristol, City of",E06000023,02/02/21,128,27443
ltla,"Bristol, City of",E06000023,02/01/21,160,27315
ltla,"Bristol, City of",E06000023,01/31/21,117,27155
ltla,"Bristol, City of",E06000023,01/30/21,151,27038
ltla,"Bristol, City of",E06000023,01/29/21,144,26887
ltla,"Bristol, City of",E06000023,01/28/21,153,26743
ltla,"Bristol, City of",E06000023,01/27/21,202,26590
ltla,"Bristol, City of",E06000023,01/26/21,201,26388
ltla,"Bristol, City of",E06000023,01/25/21,235,26187
ltla,"Bristol, City of",E06000023,01/24/21,116,25952
ltla,"Bristol, City of",E06000023,01/23/21,146,25836
ltla,"Bristol, City of",E06000023,01/22/21,191,25690
ltla,"Bristol, City of",E06000023,01/21/21,215,25499
ltla,"Bristol, City of",E06000023,01/20/21,227,25284
ltla,"Bristol, City of",E06000023,01/19/21,231,25057
ltla,"Bristol, City of",E06000023,01/18/21,287,24826
ltla,"Bristol, City of",E06000023,01/17/21,179,24539
ltla,"Bristol, City of",E06000023,01/16/21,202,24360
ltla,"Bristol, City of",E06000023,01/15/21,269,24158
ltla,"Bristol, City of",E06000023,01/14/21,311,23889
ltla,"Bristol, City of",E06000023,01/13/21,301,23578
ltla,"Bristol, City of",E06000023,01/12/21,329,23277
ltla,"Bristol, City of",E06000023,01/11/21,355,22948
ltla,"Bristol, City of",E06000023,01/10/21,245,22593
ltla,"Bristol, City of",E06000023,01/09/21,261,22348
ltla,"Bristol, City of",E06000023,01/08/21,267,22087
ltla,"Bristol, City of",E06000023,01/07/21,312,21820
ltla,"Bristol, City of",E06000023,01/06/21,316,21508
ltla,"Bristol, City of",E06000023,01/05/21,441,21192
ltla,"Bristol, City of",E06000023,01/04/21,448,20751
ltla,"Bristol, City of",E06000023,01/03/21,258,20303
ltla,"Bristol, City of",E06000023,01/02/21,315,20045
ltla,"Bristol, City of",E06000023,01/01/21,191,19730
ltla,"Bristol, City of",E06000023,12/31/20,257,19539
ltla,"Bristol, City of",E06000023,12/30/20,328,19282
ltla,"Bristol, City of",E06000023,12/29/20,386,18954
ltla,"Bristol, City of",E06000023,12/28/20,207,18568
ltla,"Bristol, City of",E06000023,12/27/20,218,18361
ltla,"Bristol, City of",E06000023,12/26/20,156,18143
ltla,"Bristol, City of",E06000023,12/25/20,40,17987
ltla,"Bristol, City of",E06000023,12/24/20,89,17947
ltla,"Bristol, City of",E06000023,12/23/20,146,17858
ltla,"Bristol, City of",E06000023,12/22/20,163,17712
ltla,"Bristol, City of",E06000023,12/21/20,199,17549
ltla,"Bristol, City of",E06000023,12/20/20,99,17350
ltla,"Bristol, City of",E06000023,12/19/20,83,17251
ltla,"Bristol, City of",E06000023,12/18/20,108,17168
ltla,"Bristol, City of",E06000023,12/17/20,102,17060
ltla,"Bristol, City of",E06000023,12/16/20,126,16958
ltla,"Bristol, City of",E06000023,12/15/20,126,16832
ltla,"Bristol, City of",E06000023,12/14/20,128,16706
ltla,"Bristol, City of",E06000023,12/13/20,86,16578
ltla,"Bristol, City of",E06000023,12/12/20,85,16492
ltla,"Bristol, City of",E06000023,12/11/20,71,16407
ltla,"Bristol, City of",E06000023,12/10/20,89,16336
ltla,"Bristol, City of",E06000023,12/09/20,81,16247
ltla,"Bristol, City of",E06000023,12/08/20,108,16166
ltla,"Bristol, City of",E06000023,12/07/20,80,16058
ltla,"Bristol, City of",E06000023,12/06/20,49,15978
ltla,"Bristol, City of",E06000023,12/05/20,66,15929
ltla,"Bristol, City of",E06000023,12/04/20,64,15863
ltla,"Bristol, City of",E06000023,12/03/20,111,15799
ltla,"Bristol, City of",E06000023,12/02/20,104,15688
ltla,"Bristol, City of",E06000023,12/01/20,62,15584
ltla,"Bristol, City of",E06000023,11/30/20,105,15522
ltla,"Bristol, City of",E06000023,11/29/20,85,15417
ltla,"Bristol, City of",E06000023,11/28/20,77,15332
ltla,"Bristol, City of",E06000023,11/27/20,115,15255
ltla,"Bristol, City of",E06000023,11/26/20,105,15140
ltla,"Bristol, City of",E06000023,11/25/20,152,15035
ltla,"Bristol, City of",E06000023,11/24/20,134,14883
ltla,"Bristol, City of",E06000023,11/23/20,153,14749
ltla,"Bristol, City of",E06000023,11/22/20,93,14596
ltla,"Bristol, City of",E06000023,11/21/20,122,14503
ltla,"Bristol, City of",E06000023,11/20/20,166,14381
ltla,"Bristol, City of",E06000023,11/19/20,165,14215
ltla,"Bristol, City of",E06000023,11/18/20,231,14050
ltla,"Bristol, City of",E06000023,11/17/20,274,13819
ltla,"Bristol, City of",E06000023,11/16/20,339,13545
ltla,"Bristol, City of",E06000023,11/15/20,213,13206
ltla,"Bristol, City of",E06000023,11/14/20,258,12993
ltla,"Bristol, City of",E06000023,11/13/20,332,12735
ltla,"Bristol, City of",E06000023,11/12/20,379,12403
ltla,"Bristol, City of",E06000023,11/11/20,303,12024
ltla,"Bristol, City of",E06000023,11/10/20,356,11721
ltla,"Bristol, City of",E06000023,11/09/20,368,11365
ltla,"Bristol, City of",E06000023,11/08/20,265,10997
ltla,"Bristol, City of",E06000023,11/07/20,269,10732
ltla,"Bristol, City of",E06000023,11/06/20,342,10463
ltla,"Bristol, City of",E06000023,11/05/20,353,10121
ltla,"Bristol, City of",E06000023,11/04/20,350,9768
ltla,"Bristol, City of",E06000023,11/03/20,364,9418
ltla,"Bristol, City of",E06000023,11/02/20,401,9054
ltla,"Bristol, City of",E06000023,11/01/20,146,8653
ltla,"Bristol, City of",E06000023,10/31/20,182,8507
ltla,"Bristol, City of",E06000023,10/30/20,301,8325
ltla,"Bristol, City of",E06000023,10/29/20,282,8024
ltla,"Bristol, City of",E06000023,10/28/20,352,7742
ltla,"Bristol, City of",E06000023,10/27/20,323,7390
ltla,"Bristol, City of",E06000023,10/26/20,302,7067
ltla,"Bristol, City of",E06000023,10/25/20,219,6765
ltla,"Bristol, City of",E06000023,10/24/20,240,6546
ltla,"Bristol, City of",E06000023,10/23/20,302,6306
ltla,"Bristol, City of",E06000023,10/22/20,349,6004
ltla,"Bristol, City of",E06000023,10/21/20,345,5655
ltla,"Bristol, City of",E06000023,10/20/20,267,5310
ltla,"Bristol, City of",E06000023,10/19/20,252,5043
ltla,"Bristol, City of",E06000023,10/18/20,160,4791
ltla,"Bristol, City of",E06000023,10/17/20,178,4631
ltla,"Bristol, City of",E06000023,10/16/20,195,4453
ltla,"Bristol, City of",E06000023,10/15/20,191,4258
ltla,"Bristol, City of",E06000023,10/14/20,203,4067
ltla,"Bristol, City of",E06000023,10/13/20,295,3864
ltla,"Bristol, City of",E06000023,10/12/20,181,3569
ltla,"Bristol, City of",E06000023,10/11/20,134,3388
ltla,"Bristol, City of",E06000023,10/10/20,166,3254
ltla,"Bristol, City of",E06000023,10/09/20,241,3088
ltla,"Bristol, City of",E06000023,10/08/20,193,2847
ltla,"Bristol, City of",E06000023,10/07/20,206,2654
ltla,"Bristol, City of",E06000023,10/06/20,138,2448
ltla,"Bristol, City of",E06000023,10/05/20,99,2310
ltla,"Bristol, City of",E06000023,10/04/20,74,2211
ltla,"Bristol, City of",E06000023,10/03/20,88,2137
ltla,"Bristol, City of",E06000023,10/02/20,63,2049
ltla,"Bristol, City of",E06000023,10/01/20,52,1986
ltla,"Bristol, City of",E06000023,09/30/20,34,1934
ltla,"Bristol, City of",E06000023,09/29/20,22,1900
ltla,"Bristol, City of",E06000023,09/28/20,41,1878
ltla,"Bristol, City of",E06000023,09/27/20,14,1837
ltla,"Bristol, City of",E06000023,09/26/20,21,1823
ltla,"Bristol, City of",E06000023,09/25/20,18,1802
ltla,"Bristol, City of",E06000023,09/24/20,17,1784
ltla,"Bristol, City of",E06000023,09/23/20,21,1767
ltla,"Bristol, City of",E06000023,09/22/20,12,1746
ltla,"Bristol, City of",E06000023,09/21/20,11,1734
ltla,"Bristol, City of",E06000023,09/20/20,20,1723
ltla,"Bristol, City of",E06000023,09/19/20,11,1703
ltla,"Bristol, City of",E06000023,09/18/20,12,1692
ltla,"Bristol, City of",E06000023,09/17/20,12,1680
ltla,"Bristol, City of",E06000023,09/16/20,7,1668
ltla,"Bristol, City of",E06000023,09/15/20,8,1661
ltla,"Bristol, City of",E06000023,09/14/20,9,1653
ltla,"Bristol, City of",E06000023,09/13/20,4,1644
ltla,"Bristol, City of",E06000023,09/12/20,0,1640
ltla,"Bristol, City of",E06000023,09/11/20,6,1640
ltla,"Bristol, City of",E06000023,09/10/20,9,1634
ltla,"Bristol, City of",E06000023,09/09/20,9,1625
ltla,"Bristol, City of",E06000023,09/08/20,8,1616
ltla,"Bristol, City of",E06000023,09/07/20,17,1608
ltla,"Bristol, City of",E06000023,09/06/20,11,1591
ltla,"Bristol, City of",E06000023,09/05/20,5,1580
ltla,"Bristol, City of",E06000023,09/04/20,17,1575
ltla,"Bristol, City of",E06000023,09/03/20,13,1558
ltla,"Bristol, City of",E06000023,09/02/20,18,1545
ltla,"Bristol, City of",E06000023,09/01/20,13,1527
ltla,"Bristol, City of",E06000023,08/31/20,10,1514
ltla,"Bristol, City of",E06000023,08/30/20,5,1504
ltla,"Bristol, City of",E06000023,08/29/20,6,1499
ltla,"Bristol, City of",E06000023,08/28/20,10,1493
ltla,"Bristol, City of",E06000023,08/27/20,2,1483
ltla,"Bristol, City of",E06000023,08/26/20,6,1481
ltla,"Bristol, City of",E06000023,08/25/20,10,1475
ltla,"Bristol, City of",E06000023,08/24/20,7,1465
ltla,"Bristol, City of",E06000023,08/23/20,5,1458
ltla,"Bristol, City of",E06000023,08/22/20,8,1453
ltla,"Bristol, City of",E06000023,08/21/20,6,1445
ltla,"Bristol, City of",E06000023,08/20/20,11,1439
ltla,"Bristol, City of",E06000023,08/19/20,6,1428
ltla,"Bristol, City of",E06000023,08/18/20,8,1422
ltla,"Bristol, City of",E06000023,08/17/20,11,1414
ltla,"Bristol, City of",E06000023,08/16/20,1,1403
ltla,"Bristol, City of",E06000023,08/15/20,4,1402
ltla,"Bristol, City of",E06000023,08/14/20,9,1398
ltla,"Bristol, City of",E06000023,08/13/20,6,1389
ltla,"Bristol, City of",E06000023,08/12/20,7,1383
ltla,"Bristol, City of",E06000023,08/11/20,9,1376
ltla,"Bristol, City of",E06000023,08/10/20,4,1367
ltla,"Bristol, City of",E06000023,08/09/20,1,1363
ltla,"Bristol, City of",E06000023,08/08/20,4,1362
ltla,"Bristol, City of",E06000023,08/07/20,6,1358
ltla,"Bristol, City of",E06000023,08/06/20,3,1352
ltla,"Bristol, City of",E06000023,08/05/20,3,1349
ltla,"Bristol, City of",E06000023,08/04/20,0,1346
ltla,"Bristol, City of",E06000023,08/03/20,3,1346
ltla,"Bristol, City of",E06000023,08/02/20,0,1343
ltla,"Bristol, City of",E06000023,08/01/20,1,1343
ltla,"Bristol, City of",E06000023,07/31/20,0,1342
ltla,"Bristol, City of",E06000023,07/30/20,2,1342
ltla,"Bristol, City of",E06000023,07/29/20,5,1340
ltla,"Bristol, City of",E06000023,07/28/20,5,1335
ltla,"Bristol, City of",E06000023,07/27/20,3,1330
ltla,"Bristol, City of",E06000023,07/26/20,4,1327
ltla,"Bristol, City of",E06000023,07/25/20,2,1323
ltla,"Bristol, City of",E06000023,07/24/20,5,1321
ltla,"Bristol, City of",E06000023,07/23/20,3,1316
ltla,"Bristol, City of",E06000023,07/22/20,5,1313
ltla,"Bristol, City of",E06000023,07/21/20,3,1308
ltla,"Bristol, City of",E06000023,07/20/20,3,1305
ltla,"Bristol, City of",E06000023,07/19/20,1,1302
ltla,"Bristol, City of",E06000023,07/18/20,1,1301
ltla,"Bristol, City of",E06000023,07/17/20,3,1300
ltla,"Bristol, City of",E06000023,07/16/20,2,1297
ltla,"Bristol, City of",E06000023,07/15/20,2,1295
ltla,"Bristol, City of",E06000023,07/14/20,1,1293
ltla,"Bristol, City of",E06000023,07/13/20,2,1292
ltla,"Bristol, City of",E06000023,07/12/20,1,1290
ltla,"Bristol, City of",E06000023,07/11/20,0,1289
ltla,"Bristol, City of",E06000023,07/10/20,1,1289
ltla,"Bristol, City of",E06000023,07/09/20,2,1288
ltla,"Bristol, City of",E06000023,07/08/20,2,1286
ltla,"Bristol, City of",E06000023,07/07/20,1,1284
ltla,"Bristol, City of",E06000023,07/06/20,3,1283
ltla,"Bristol, City of",E06000023,07/05/20,2,1280
ltla,"Bristol, City of",E06000023,07/04/20,1,1278
ltla,"Bristol, City of",E06000023,07/03/20,0,1277
ltla,"Bristol, City of",E06000023,07/02/20,2,1277
ltla,"Bristol, City of",E06000023,07/01/20,3,1275
ltla,"Bristol, City of",E06000023,06/30/20,0,1272
ltla,"Bristol, City of",E06000023,06/29/20,3,1272
ltla,"Bristol, City of",E06000023,06/28/20,0,1269
ltla,"Bristol, City of",E06000023,06/27/20,1,1269
ltla,"Bristol, City of",E06000023,06/26/20,2,1268
ltla,"Bristol, City of",E06000023,06/25/20,0,1266
ltla,"Bristol, City of",E06000023,06/24/20,4,1266
ltla,"Bristol, City of",E06000023,06/23/20,3,1262
ltla,"Bristol, City of",E06000023,06/22/20,0,1259
ltla,"Bristol, City of",E06000023,06/21/20,0,1259
ltla,"Bristol, City of",E06000023,06/20/20,1,1259
ltla,"Bristol, City of",E06000023,06/19/20,0,1258
ltla,"Bristol, City of",E06000023,06/18/20,3,1258
ltla,"Bristol, City of",E06000023,06/17/20,2,1255
ltla,"Bristol, City of",E06000023,06/16/20,2,1253
ltla,"Bristol, City of",E06000023,06/15/20,0,1251
ltla,"Bristol, City of",E06000023,06/14/20,2,1251
ltla,"Bristol, City of",E06000023,06/13/20,4,1249
ltla,"Bristol, City of",E06000023,06/12/20,2,1245
ltla,"Bristol, City of",E06000023,06/11/20,5,1243
ltla,"Bristol, City of",E06000023,06/10/20,2,1238
ltla,"Bristol, City of",E06000023,06/09/20,4,1236
ltla,"Bristol, City of",E06000023,06/08/20,3,1232
ltla,"Bristol, City of",E06000023,06/07/20,4,1229
ltla,"Bristol, City of",E06000023,06/06/20,9,1225
ltla,"Bristol, City of",E06000023,06/05/20,8,1216
ltla,"Bristol, City of",E06000023,06/04/20,10,1208
ltla,"Bristol, City of",E06000023,06/03/20,4,1198
ltla,"Bristol, City of",E06000023,06/02/20,12,1194
ltla,"Bristol, City of",E06000023,06/01/20,5,1182
ltla,"Bristol, City of",E06000023,05/31/20,12,1177
ltla,"Bristol, City of",E06000023,05/30/20,4,1165
ltla,"Bristol, City of",E06000023,05/29/20,11,1161
ltla,"Bristol, City of",E06000023,05/28/20,26,1150
ltla,"Bristol, City of",E06000023,05/27/20,32,1124
ltla,"Bristol, City of",E06000023,05/26/20,5,1092
ltla,"Bristol, City of",E06000023,05/25/20,3,1087
ltla,"Bristol, City of",E06000023,05/24/20,10,1084
ltla,"Bristol, City of",E06000023,05/23/20,1,1074
ltla,"Bristol, City of",E06000023,05/22/20,9,1073
ltla,"Bristol, City of",E06000023,05/21/20,9,1064
ltla,"Bristol, City of",E06000023,05/20/20,13,1055
ltla,"Bristol, City of",E06000023,05/19/20,19,1042
ltla,"Bristol, City of",E06000023,05/18/20,9,1023
ltla,"Bristol, City of",E06000023,05/17/20,6,1014
ltla,"Bristol, City of",E06000023,05/16/20,7,1008
ltla,"Bristol, City of",E06000023,05/15/20,2,1001
ltla,"Bristol, City of",E06000023,05/14/20,11,999
ltla,"Bristol, City of",E06000023,05/13/20,4,988
ltla,"Bristol, City of",E06000023,05/12/20,8,984
ltla,"Bristol, City of",E06000023,05/11/20,18,976
ltla,"Bristol, City of",E06000023,05/10/20,26,958
ltla,"Bristol, City of",E06000023,05/09/20,10,932
ltla,"Bristol, City of",E06000023,05/08/20,18,922
ltla,"Bristol, City of",E06000023,05/07/20,15,904
ltla,"Bristol, City of",E06000023,05/06/20,22,889
ltla,"Bristol, City of",E06000023,05/05/20,12,867
ltla,"Bristol, City of",E06000023,05/04/20,22,855
ltla,"Bristol, City of",E06000023,05/03/20,9,833
ltla,"Bristol, City of",E06000023,05/02/20,13,824
ltla,"Bristol, City of",E06000023,05/01/20,29,811
ltla,"Bristol, City of",E06000023,04/30/20,22,782
ltla,"Bristol, City of",E06000023,04/29/20,31,760
ltla,"Bristol, City of",E06000023,04/28/20,33,729
ltla,"Bristol, City of",E06000023,04/27/20,30,696
ltla,"Bristol, City of",E06000023,04/26/20,23,666
ltla,"Bristol, City of",E06000023,04/25/20,12,643
ltla,"Bristol, City of",E06000023,04/24/20,39,631
ltla,"Bristol, City of",E06000023,04/23/20,25,592
ltla,"Bristol, City of",E06000023,04/22/20,38,567
ltla,"Bristol, City of",E06000023,04/21/20,20,529
ltla,"Bristol, City of",E06000023,04/20/20,21,509
ltla,"Bristol, City of",E06000023,04/19/20,15,488
ltla,"Bristol, City of",E06000023,04/18/20,13,473
ltla,"Bristol, City of",E06000023,04/17/20,14,460
ltla,"Bristol, City of",E06000023,04/16/20,28,446
ltla,"Bristol, City of",E06000023,04/15/20,22,418
ltla,"Bristol, City of",E06000023,04/14/20,17,396
ltla,"Bristol, City of",E06000023,04/13/20,15,379
ltla,"Bristol, City of",E06000023,04/12/20,15,364
ltla,"Bristol, City of",E06000023,04/11/20,26,349
ltla,"Bristol, City of",E06000023,04/10/20,18,323
ltla,"Bristol, City of",E06000023,04/09/20,17,305
ltla,"Bristol, City of",E06000023,04/08/20,28,288
ltla,"Bristol, City of",E06000023,04/07/20,22,260
ltla,"Bristol, City of",E06000023,04/06/20,13,238
ltla,"Bristol, City of",E06000023,04/05/20,14,225
ltla,"Bristol, City of",E06000023,04/04/20,10,211
ltla,"Bristol, City of",E06000023,04/03/20,20,201
ltla,"Bristol, City of",E06000023,04/02/20,14,181
ltla,"Bristol, City of",E06000023,04/01/20,17,167
ltla,"Bristol, City of",E06000023,03/31/20,17,150
ltla,"Bristol, City of",E06000023,03/30/20,17,133
ltla,"Bristol, City of",E06000023,03/29/20,12,116
ltla,"Bristol, City of",E06000023,03/28/20,10,104
ltla,"Bristol, City of",E06000023,03/27/20,14,94
ltla,"Bristol, City of",E06000023,03/26/20,14,80
ltla,"Bristol, City of",E06000023,03/25/20,12,66
ltla,"Bristol, City of",E06000023,03/24/20,4,54
ltla,"Bristol, City of",E06000023,03/23/20,10,50
ltla,"Bristol, City of",E06000023,03/22/20,5,40
ltla,"Bristol, City of",E06000023,03/21/20,8,35
ltla,"Bristol, City of",E06000023,03/20/20,4,27
ltla,"Bristol, City of",E06000023,03/19/20,2,23
ltla,"Bristol, City of",E06000023,03/18/20,7,21
ltla,"Bristol, City of",E06000023,03/17/20,3,14
ltla,"Bristol, City of",E06000023,03/16/20,0,11
ltla,"Bristol, City of",E06000023,03/15/20,1,11
ltla,"Bristol, City of",E06000023,03/14/20,2,10
ltla,"Bristol, City of",E06000023,03/13/20,3,8
ltla,"Bristol, City of",E06000023,03/12/20,1,5
ltla,"Bristol, City of",E06000023,03/11/20,0,4
ltla,"Bristol, City of",E06000023,03/10/20,1,4
ltla,"Bristol, City of",E06000023,03/09/20,0,3
ltla,"Bristol, City of",E06000023,03/08/20,0,3
ltla,"Bristol, City of",E06000023,03/07/20,1,3
ltla,"Bristol, City of",E06000023,03/06/20,1,2
ltla,"Bristol, City of",E06000023,03/05/20,0,1
ltla,"Bristol, City of",E06000023,03/04/20,0,1
ltla,"Bristol, City of",E06000023,03/03/20,1,1
